dataset,model,split,frames,iou,dice,precision,recall,failure,boundary_f1,component_count,pred_gt_area_ratio,bbox_iou
MoCH,ZoomNeXt_Baseline,All,80,0.32279132820923995,0.3791714019229109,0.5457932564490211,0.35156862539725153,0.5875,0.19198176792922447,1.6875,0.47753605937922894,0.3635236430583449
MoCH,ZoomNeXt-CamLock,All,80,0.3381701505691618,0.4012185333880255,0.5335827882951237,0.3737783431924693,0.575,0.2015310929426702,2.1125,0.5722270121293068,0.3925919075367984
