dataset,model,split,frames,iou,dice,precision,recall,failure,boundary_f1,component_count,pred_gt_area_ratio,bbox_iou
MoCH,ZoomNeXt_Baseline,All,3742,0.38889931727236066,0.45332386307921413,0.5878544097704745,0.4204086983885844,0.4925173703901657,0.22886091335535877,1.6282736504543025,0.5180659060844522,0.41776761679846
MoCH,ZoomNeXt-CamLock,All,3742,0.4601457172022721,0.5435938103913908,0.60027670702408,0.5574047689790345,0.38455371459112775,0.2463712865190626,2.9072688401924105,1.6552225384059227,0.4687710090874397
