dataset,model,split,frames,iou,dice,precision,recall,failure,boundary_f1,component_count,pred_gt_area_ratio,bbox_iou
MoCH,ZoomNeXt_Baseline,Train,1943,0.41568125423869123,0.4841571773219332,0.6103985392781437,0.4490067756613271,0.4580545548121462,0.23467217692053138,1.5908389089037571,0.5501839413835133,0.43380263645529693
MoCH,ZoomNeXt_Baseline,Validation,472,0.4557582677016916,0.5035260189836221,0.6104756947349426,0.484850629104301,0.4449152542372881,0.29429299343114707,1.2605932203389831,0.5518670698994838,0.4787642821976996
MoCH,ZoomNeXt_Baseline,Test,1327,0.3259040436263739,0.3903211900117811,0.5467990291098643,0.3556139316675919,0.5599095704596835,0.19707852684224467,1.8138658628485305,0.4590157991464189,0.3725931863073708
MoCH,ZoomNeXt-CamLock,Train,1943,0.49313291894646355,0.5787552963510737,0.6294913269599489,0.5837903903608315,0.33968090581574883,0.2539482912046075,2.8466289243437983,1.4620329423762488,0.482255846632824
MoCH,ZoomNeXt-CamLock,Validation,472,0.5073327866628258,0.5717163148561439,0.6252015660703021,0.6158123243325211,0.3792372881355932,0.3007232292772917,2.218220338983051,2.386960632034073,0.5412364286417222
MoCH,ZoomNeXt-CamLock,Test,1327,0.39506174600834193,0.48210730750742153,0.5486350039304776,0.49799585528523116,0.45214770158251694,0.2159445818574967,3.2411454408440092,1.677820130638907,0.42325125220703036
